Date,issue,percentage
21/02/2022,Pensions,7.0
28/02/2022,Pensions,7.0
07/03/2022,Pensions,5.0
14/03/2022,Pensions,5.0
20/03/2022,Pensions,5.0
28/03/2022,Pensions,5.0
04/04/2022,Pensions,7.0
11/04/2022,Pensions,6.0
18/04/2022,Pensions,6.0
24/04/2022,Pensions,6.0
02/05/2022,Pensions,7.0
08/05/2022,Pensions,8.0
16/05/2022,Pensions,7.0
22/05/2022,Pensions,7.0
29/05/2022,Pensions,5.0
06/06/2022,Pensions,6.0
13/06/2022,Pensions,6.0
19/06/2022,Pensions,6.0
27/06/2022,Pensions,7.0
03/07/2022,Pensions,5.0
11/07/2022,Pensions,5.0
17/07/2022,Pensions,5.0
25/07/2022,Pensions,4.0
31/07/2022,Pensions,5.0
08/08/2022,Pensions,5.0
15/08/2022,Pensions,7.0
22/08/2022,Pensions,6.0
29/08/2022,Pensions,7.0
05/09/2022,Pensions,4.0
12/09/2022,Pensions,6.0
25/09/2022,Pensions,6.0
02/10/2022,Pensions,8.0
09/10/2022,Pensions,8.0
17/10/2022,Pensions,6.0
23/10/2022,Pensions,8.0
31/10/2022,Pensions,8.0
07/11/2022,Pensions,7.0
14/11/2022,Pensions,7.0
21/11/2022,Pensions,4.0
28/11/2022,Pensions,4.0
05/12/2022,Pensions,5.0
12/12/2022,Pensions,4.0
19/12/2022,Pensions,5.0
26/12/2022,Pensions,5.0
01/01/2023,Pensions,5.0
09/01/2023,Pensions,4.0
15/01/2023,Pensions,6.0
23/01/2023,Pensions,7.0
30/01/2023,Pensions,5.0
06/02/2023,Pensions,5.0
13/02/2023,Pensions,6.0
20/02/2023,Pensions,5.0
26/02/2023,Pensions,4.0
06/03/2023,Pensions,5.0
20/03/2023,Pensions,4.0
27/03/2023,Pensions,6.0
03/04/2023,Pensions,8.0
10/04/2023,Pensions,6.0
17/04/2023,Pensions,6.0
24/04/2023,Pensions,5.0
01/05/2023,Pensions,5.0
08/05/2023,Pensions,6.0
15/05/2023,Pensions,6.0
21/05/2023,Pensions,6.0
28/05/2023,Pensions,5.0
05/06/2023,Pensions,7.0
12/06/2023,Pensions,5.0
19/06/2023,Pensions,6.0
26/06/2023,Pensions,5.0
03/07/2023,Pensions,5.0
10/07/2023,Pensions,4.0
17/07/2023,Pensions,3.0
24/07/2023,Pensions,4.0
31/07/2023,Pensions,4.0
07/08/2023,Pensions,6.0
14/08/2023,Pensions,4.0
21/08/2023,Pensions,4.0
28/08/2023,Pensions,4.0
04/09/2023,Pensions,3.0
11/09/2023,Pensions,4.0
18/09/2023,Pensions,6.0
25/09/2023,Pensions,5.0
02/10/2023,Pensions,4.0
09/10/2023,Pensions,5.0
16/10/2023,Pensions,4.0
23/10/2023,Pensions,7.0
30/10/2023,Pensions,5.0
06/11/2023,Pensions,4.0
13/11/2023,Pensions,5.0
20/11/2023,Pensions,4.0
27/11/2023,Pensions,4.0
04/12/2023,Pensions,5.0
11/12/2023,Pensions,4.0
18/12/2023,Pensions,6.0
24/12/2023,Pensions,4.0
01/01/2024,Pensions,4.0
07/01/2024,Pensions,4.0
15/01/2024,Pensions,4.0
22/01/2024,Pensions,6.0
29/01/2024,Pensions,5.0
05/02/2024,Pensions,4.0
11/02/2024,Pensions,6.0
19/02/2024,Pensions,7.0
26/02/2024,Pensions,5.0
04/03/2024,Pensions,5.0
11/03/2024,Pensions,6.0
18/03/2024,Pensions,4.0
25/03/2024,Pensions,5.0
01/04/2024,Pensions,5.0
08/04/2024,Pensions,7.0
16/04/2024,Pensions,6.0
22/04/2024,Pensions,6.0
28/04/2024,Pensions,6.0
06/05/2024,Pensions,4.0
13/05/2024,Pensions,5.0
